eine Grossvater (väterlicherseits);en farfar;en farfar;true;1/4/2017 20:48:28
wir;vi;n;false;1/4/2017 20:48:49
wir;vi;vi;true;1/4/2017 20:48:56
Hallo;Hej;hey;false;1/4/2017 20:49:0
Hallo;Hej;hej;false;1/4/2017 20:49:9
Hi, ich heisse Philipp.;Hej, jag heter Philipp.;Hej, jag heter Philipp;false;1/4/2017 20:49:53
Gute Nacht!;God natt!;God natt!;true;1/4/2017 20:50:8
Hi, ich heisse Philipp.;Hej, jag heter Philipp.;Hej, jag heter Philipp.;true;1/4/2017 20:50:18
Danke;Tack;Tack;true;1/4/2017 20:50:25
ich;jag;jag;true;1/4/2017 20:50:29
ich;jag;jag;true;1/4/2017 20:50:33
Gute Nacht!;God natt!;God natt!;true;1/4/2017 20:50:38
Tschüss;Hej då;Hej då;true;1/4/2017 20:50:49
deine Eltern;dina föräldrar;dina förärandrar;false;1/4/2017 20:51:5
ich bin;jag är;jag är;true;1/4/2017 20:51:17
Super!;Kanon!;Kanon!;true;1/4/2017 20:52:31
ich;jag;jag;true;1/4/2017 20:52:47
Mir geht es gut.;Jag mår bra.;Jag var bra.;false;1/4/2017 21:26:25
Mir geht es gut.;Jag mår bra.;Jag mår bra.;true;1/4/2017 21:27:36
aber;men;men;true;1/4/2017 21:27:40
Woher kommt Hans?;Varifrån kommer Hans?;Varifrån kommer Hans_;false;1/4/2017 21:27:51
Sehr gut;Bara bra;bara bra;true;1/4/2017 21:28:37
Wir essen Frühstück.;Vi äter frukost.;Vi äta frukost.;false;1/4/2017 21:28:51
Woher kommt Hans?;Varifrån kommer Hans?;Varifrån kommer Hans?;true;1/4/2017 21:29:7
Ich komme aus Zürich.;Jag kommer från Zurich.;Jag kommer från Zurich.;true;1/4/2017 21:29:21
Hi, ich bin Philipp.;Hej, jag är Philipp.;Hej, jag är Philipp.;true;1/4/2017 21:29:33
Ich komme aus Wien.;Jag kommer från Wien.;Jag kommer från Wien.;true;1/4/2017 21:29:43
ein Bruder;en bror;en bror;true;1/4/2017 21:29:50
Wir essen Frühstück.;Vi äter frukost.;Vi äter frukost.;true;1/4/2017 21:30:4
ich bin;jag är;jag är;true;1/4/2017 21:30:14
Wir essen Frühstück.;Vi äter frukost.;Vi äter frukost.;true;1/4/2017 23:34:45
zu kommen;att komma;ett komma;false;1/4/2017 23:34:50
zu kommen;att komma;att komma;true;1/4/2017 23:35:7
zu wohnen;att bo;att bo;true;1/4/2017 23:35:14
im;på;på;true;1/4/2017 23:35:21
Wo wohnt ihr?;Var bor ni?;Vad bor vi?;false;1/4/2017 23:35:39
Wo wohnt ihr?;Var bor ni?;Var bor ni?;true;1/4/2017 23:35:49
bis;till;till;true;1/4/2017 23:35:53
